station,year,n_hours,n_fx_present,n_months_present,fx_present_share
06201,2009,6984,6970,10,0.9979954180985109
06201,2010,8760,8511,12,0.9715753424657534
06201,2011,8760,8760,12,1.0
06201,2012,8784,7005,12,0.7974726775956285
06201,2013,8760,8756,12,0.9995433789954338
06201,2014,8760,8735,12,0.9971461187214612
06201,2015,8760,8760,12,1.0
06201,2016,8784,8779,12,0.9994307832422586
06201,2017,8760,8755,12,0.9994292237442922
06201,2018,8760,8494,12,0.969634703196347
06201,2019,8760,8760,12,1.0
06201,2020,8784,8784,12,1.0
06201,2021,8760,8760,12,1.0
06201,2022,8760,8683,12,0.9912100456621005
06201,2023,8760,8740,12,0.997716894977169
06201,2024,8784,8678,12,0.9879326047358834
06201,2025,8760,6200,12,0.7077625570776256
06201,2026,3024,3024,5,1.0
06203,2009,1272,1228,2,0.9654088050314465
06203,2010,8760,8740,12,0.997716894977169
06203,2011,8760,8733,12,0.9969178082191781
06203,2012,8784,8477,12,0.9650500910746812
06203,2013,8760,8732,12,0.9968036529680365
06203,2014,8760,8721,12,0.9955479452054794
06203,2015,8760,8721,12,0.9955479452054794
06203,2016,8784,8713,12,0.9919171220400729
06203,2017,8760,8756,12,0.9995433789954338
06203,2018,8760,8686,12,0.9915525114155251
06203,2019,8760,7902,12,0.9020547945205479
06203,2020,8784,8784,12,1.0
06203,2021,8760,8519,12,0.9724885844748858
06203,2022,8760,8730,12,0.9965753424657534
06203,2023,8760,8760,12,1.0
06203,2024,8784,8543,12,0.972563752276867
06203,2025,8760,8390,12,0.9577625570776256
06203,2026,3024,2848,5,0.9417989417989417
06204,2006,600,0,1,0.0
06204,2007,8760,0,12,0.0
06204,2008,8784,1457,12,0.16586976320582877
06204,2009,8760,7598,12,0.867351598173516
06204,2010,8760,8555,12,0.9765981735159818
06204,2011,8760,8363,12,0.9546803652968037
06204,2012,8784,8779,12,0.9994307832422586
06204,2013,8760,8751,12,0.998972602739726
06204,2014,8760,8714,12,0.9947488584474886
06204,2015,8760,8760,12,1.0
06204,2016,8784,8742,12,0.9952185792349727
06204,2017,8760,8755,12,0.9994292237442922
06204,2018,8760,8760,12,1.0
06204,2019,8760,8249,12,0.9416666666666667
06204,2020,8784,8784,12,1.0
06204,2021,8760,8760,12,1.0
06204,2022,8760,8712,12,0.9945205479452055
06204,2023,8760,8750,12,0.9988584474885844
06204,2024,8784,8784,12,1.0
06204,2025,8760,8269,12,0.9439497716894977
06204,2026,3024,2799,5,0.9255952380952381
06205,2009,6984,6546,10,0.9372852233676976
06205,2010,8760,8548,12,0.9757990867579909
06205,2011,8760,8739,12,0.9976027397260274
06205,2012,8784,8606,12,0.979735883424408
06205,2013,8760,8753,12,0.9992009132420091
06205,2014,8760,8739,12,0.9976027397260274
06205,2015,8760,8715,12,0.9948630136986302
06205,2016,8784,8779,12,0.9994307832422586
06205,2017,8760,8712,12,0.9945205479452055
06205,2018,8760,8684,12,0.991324200913242
06205,2019,8760,7675,12,0.8761415525114156
06205,2020,8784,8769,12,0.9982923497267759
06205,2021,8760,8378,12,0.9563926940639269
06205,2022,8760,8755,12,0.9994292237442922
06205,2023,8760,8606,12,0.9824200913242009
06205,2024,8784,8281,12,0.9427367941712204
06205,2025,8760,8503,12,0.970662100456621
06205,2026,3024,3024,5,1.0
06206,2006,600,545,1,0.9083333333333333
06206,2007,8760,7856,12,0.8968036529680365
06206,2008,8784,8731,12,0.9939663023679417
06206,2009,8760,7403,12,0.8450913242009133
06206,2010,8760,7615,12,0.8692922374429224
06206,2011,8760,8760,12,1.0
06206,2012,8784,5568,12,0.6338797814207651
06206,2013,8760,8760,12,1.0
06206,2014,8760,8693,12,0.992351598173516
06206,2015,8760,8743,12,0.9980593607305936
06206,2016,8784,8617,12,0.980988160291439
06206,2017,8760,8633,12,0.9855022831050229
06206,2018,8760,8686,12,0.9915525114155251
06206,2019,8760,8760,12,1.0
06206,2020,5855,5844,8,0.9981212638770282
06207,2006,600,0,1,0.0
06207,2007,8760,0,12,0.0
06207,2008,8784,1666,12,0.18966302367941712
06207,2009,8760,7302,12,0.8335616438356165
06207,2010,8760,8602,12,0.9819634703196347
06207,2011,8760,8365,12,0.9549086757990868
06207,2012,8784,8676,12,0.9877049180327869
06207,2013,8760,8625,12,0.9845890410958904
06207,2014,8760,8608,12,0.982648401826484
06207,2015,8760,8757,12,0.9996575342465753
06207,2016,8784,8747,12,0.995787795992714
06207,2017,8760,8760,12,1.0
06207,2018,8760,8760,12,1.0
06207,2019,8760,8738,12,0.9974885844748859
06207,2020,8784,8784,12,1.0
06207,2021,8760,8728,12,0.9963470319634703
06207,2022,8760,8741,12,0.9978310502283105
06207,2023,8760,8735,12,0.9971461187214612
06207,2024,8784,8441,12,0.9609517304189436
06207,2025,8760,8181,12,0.9339041095890411
06207,2026,3024,2789,5,0.9222883597883598
06208,2006,600,0,1,0.0
06208,2007,8760,0,12,0.0
06208,2008,8784,2206,12,0.2511384335154827
06208,2009,8760,8407,12,0.9597031963470319
06208,2010,8760,8678,12,0.9906392694063927
06208,2011,8760,6116,12,0.6981735159817352
06208,2012,8784,8747,12,0.995787795992714
06208,2013,8760,8649,12,0.9873287671232877
06208,2014,8760,8736,12,0.9972602739726028
06208,2015,8760,8760,12,1.0
06208,2016,8784,8752,12,0.9963570127504554
06208,2017,8760,8662,12,0.9888127853881279
06208,2018,8760,8734,12,0.9970319634703196
06208,2019,8760,8746,12,0.9984018264840183
06208,2020,8784,8743,12,0.995332422586521
06208,2021,8760,8760,12,1.0
06208,2022,8760,8592,12,0.9808219178082191
06208,2023,8760,7411,12,0.8460045662100457
06208,2024,8784,8664,12,0.9863387978142076
06208,2025,8760,8366,12,0.9550228310502283
06208,2026,3024,2801,5,0.9262566137566137
06209,2001,8064,8028,12,0.9955357142857143
06209,2002,8760,7411,12,0.8460045662100457
06209,2003,8040,7727,11,0.9610696517412936
06209,2004,8784,8784,12,1.0
06209,2005,8760,8645,12,0.9868721461187214
06209,2006,8760,8760,12,1.0
06209,2007,8760,8760,12,1.0
06209,2008,8784,8784,12,1.0
06209,2009,8760,8276,12,0.9447488584474886
06209,2010,8760,8760,12,1.0
06209,2011,8760,8760,12,1.0
06209,2012,8784,8784,12,1.0
06209,2013,8760,8760,12,1.0
06209,2014,8760,8760,12,1.0
06209,2015,8760,8760,12,1.0
06209,2016,8784,7195,12,0.8191029143897997
06209,2017,8760,8760,12,1.0
06209,2018,8760,8077,12,0.9220319634703197
06209,2019,8760,8760,12,1.0
06209,2020,8784,8784,12,1.0
06209,2021,8760,8018,12,0.9152968036529681
06209,2022,8760,8485,12,0.968607305936073
06209,2023,8760,8760,12,1.0
06209,2024,8784,8587,12,0.9775728597449909
06209,2025,8760,8760,12,1.0
06209,2026,3024,3024,5,1.0
06210,1951,8760,0,12,0.0
06210,1952,8784,0,12,0.0
06210,1953,8760,0,12,0.0
06210,1954,8760,0,12,0.0
06210,1955,8760,0,12,0.0
06210,1956,8760,0,12,0.0
06210,1957,8760,0,12,0.0
06210,1958,8760,0,12,0.0
06210,1959,8760,0,12,0.0
06210,1960,8784,0,12,0.0
06210,1961,8760,0,12,0.0
06210,1962,8760,0,12,0.0
06210,1963,8760,0,12,0.0
06210,1964,8784,0,12,0.0
06210,1965,8760,0,12,0.0
06210,1966,8760,0,12,0.0
06210,1967,8760,0,12,0.0
06210,1968,8784,0,12,0.0
06210,1969,8760,0,12,0.0
06210,1970,8760,1,12,0.00011415525114155251
06210,1971,8760,8722,12,0.995662100456621
06210,1972,8784,8782,12,0.9997723132969034
06210,1973,8760,8756,12,0.9995433789954338
06210,1974,8760,8760,12,1.0
06210,1975,8760,8760,12,1.0
06210,1976,8784,8784,12,1.0
06210,1977,8760,8760,12,1.0
06210,1978,8760,8760,12,1.0
06210,1979,8760,8760,12,1.0
06210,1980,8784,8784,12,1.0
06210,1981,8760,8723,12,0.9957762557077625
06210,1982,8760,8560,12,0.9771689497716894
06210,1983,8760,8682,12,0.9910958904109589
06210,1984,8784,8753,12,0.9964708561020036
06210,1985,8760,8680,12,0.9908675799086758
06210,1986,8760,8736,12,0.9972602739726028
06210,1987,8760,8758,12,0.9997716894977169
06210,1988,8784,8784,12,1.0
06210,1989,8760,8758,12,0.9997716894977169
06210,1990,8760,8759,12,0.9998858447488584
06210,1991,8760,8715,12,0.9948630136986302
06210,1992,8784,8737,12,0.9946493624772313
06210,1993,8760,8674,12,0.9901826484018265
06210,1994,8760,8752,12,0.9990867579908675
06210,1995,8760,8759,12,0.9998858447488584
06210,1996,8784,8784,12,1.0
06210,1997,8760,8760,12,1.0
06210,1998,8760,8760,12,1.0
06210,1999,8760,8760,12,1.0
06210,2000,8784,8784,12,1.0
06210,2001,8760,8760,12,1.0
06210,2002,8760,8760,12,1.0
06210,2003,8040,8040,11,1.0
06210,2004,8784,8784,12,1.0
06210,2005,8760,8760,12,1.0
06210,2006,8760,8760,12,1.0
06210,2007,8760,8760,12,1.0
06210,2008,8784,8784,12,1.0
06210,2009,8760,8760,12,1.0
06210,2010,8760,8760,12,1.0
06210,2011,8760,8760,12,1.0
06210,2012,8784,8784,12,1.0
06210,2013,8760,8760,12,1.0
06210,2014,8760,8760,12,1.0
06210,2015,8760,8760,12,1.0
06210,2016,2952,2952,5,1.0
06211,2009,6984,6582,10,0.9424398625429553
06211,2010,8760,7981,12,0.9110730593607306
06211,2011,8760,8602,12,0.9819634703196347
06211,2012,8784,8144,12,0.9271402550091075
06211,2013,8760,8680,12,0.9908675799086758
06211,2014,8760,8760,12,1.0
06211,2015,8760,8760,12,1.0
06211,2016,8784,8751,12,0.9962431693989071
06211,2017,8760,8760,12,1.0
06211,2018,8760,8630,12,0.9851598173515982
06211,2019,8760,8745,12,0.9982876712328768
06211,2020,8784,8644,12,0.9840619307832422
06211,2021,8760,8760,12,1.0
06211,2022,8760,8760,12,1.0
06211,2023,8760,8755,12,0.9994292237442922
06211,2024,8784,8470,12,0.9642531876138434
06211,2025,8760,8760,12,1.0
06211,2026,3024,3024,5,1.0
06212,2009,6984,6978,10,0.9991408934707904
06212,2010,8760,8664,12,0.989041095890411
06212,2011,8760,8731,12,0.996689497716895
06212,2012,8784,8784,12,1.0
06212,2013,8760,8748,12,0.9986301369863013
06212,2014,8760,8760,12,1.0
06212,2015,8760,8602,12,0.9819634703196347
06212,2016,8784,8722,12,0.9929417122040073
06212,2017,8760,8652,12,0.9876712328767123
06212,2018,8760,8667,12,0.9893835616438356
06212,2019,8760,8690,12,0.9920091324200914
06212,2020,8784,8775,12,0.9989754098360656
06212,2021,8760,7341,12,0.838013698630137
06212,2022,8016,4474,11,0.5581337325349301
06213,2025,912,912,2,1.0
06213,2026,3024,3024,5,1.0
06214,2016,8040,7206,11,0.8962686567164179
06214,2017,8760,8760,12,1.0
06214,2018,8760,8760,12,1.0
06214,2019,8760,8760,12,1.0
06214,2020,8784,8784,12,1.0
06214,2021,8760,8755,12,0.9994292237442922
06214,2022,8760,8760,12,1.0
06214,2023,8760,8760,12,1.0
06214,2024,8784,8773,12,0.998747723132969
06214,2025,8760,8591,12,0.9807077625570776
06214,2026,3024,3024,5,1.0
06215,2014,4080,4070,6,0.9975490196078431
06215,2015,8760,8760,12,1.0
06215,2016,8784,8784,12,1.0
06215,2017,8760,8760,12,1.0
06215,2018,8760,8760,12,1.0
06215,2019,8760,8760,12,1.0
06215,2020,8784,8784,12,1.0
06215,2021,8760,8760,12,1.0
06215,2022,8760,8760,12,1.0
06215,2023,8760,8760,12,1.0
06215,2024,8784,8784,12,1.0
06215,2025,8760,8731,12,0.996689497716895
06215,2026,3024,3024,5,1.0
06216,2024,2665,2661,4,0.9984990619136961
06216,2025,8760,8760,12,1.0
06216,2026,3024,3019,5,0.9983465608465608
06218,2025,912,912,2,1.0
06218,2026,3024,3019,5,0.9983465608465608
06225,1971,8760,0,12,0.0
06225,1972,8784,0,12,0.0
06225,1973,8760,0,12,0.0
06225,1974,8760,0,12,0.0
06225,1975,8760,0,12,0.0
06225,1976,8784,0,12,0.0
06225,1977,8760,0,12,0.0
06225,1978,8760,0,12,0.0
06225,1979,8760,0,12,0.0
06225,1980,8784,0,12,0.0
06225,1981,8760,8595,12,0.9811643835616438
06225,1982,8760,8628,12,0.9849315068493151
06225,1983,8760,8211,12,0.9373287671232877
06225,1984,8784,8363,12,0.9520719489981785
06225,1985,8760,1369,12,0.1562785388127854
06225,1986,8760,2281,12,0.26038812785388127
06225,1987,8760,4188,12,0.4780821917808219
06225,1988,8784,4360,12,0.49635701275045535
06225,1989,8760,5345,12,0.6101598173515982
06225,1990,8760,8494,12,0.969634703196347
06225,1991,8760,8560,12,0.9771689497716894
06225,1992,8784,8533,12,0.9714253187613844
06225,1993,8760,8598,12,0.9815068493150685
06225,1994,8760,8591,12,0.9807077625570776
06225,1995,8760,8622,12,0.9842465753424657
06225,1996,8784,8784,12,1.0
06225,1997,8760,8760,12,1.0
06225,1998,8760,8760,12,1.0
06225,1999,8760,8760,12,1.0
06225,2000,8784,8784,12,1.0
06225,2001,8760,8760,12,1.0
06225,2002,8760,8760,12,1.0
06225,2003,8040,8040,11,1.0
06225,2004,8784,8784,12,1.0
06225,2005,8760,8760,12,1.0
06225,2006,8760,8760,12,1.0
06225,2007,8760,8760,12,1.0
06225,2008,8784,8784,12,1.0
06225,2009,8760,8760,12,1.0
06225,2010,8760,8760,12,1.0
06225,2011,8760,8760,12,1.0
06225,2012,8784,8784,12,1.0
06225,2013,8760,8760,12,1.0
06225,2014,8760,8760,12,1.0
06225,2015,8760,8760,12,1.0
06225,2016,8784,8784,12,1.0
06225,2017,8760,8760,12,1.0
06225,2018,8760,8760,12,1.0
06225,2019,8760,8760,12,1.0
06225,2020,8784,8784,12,1.0
06225,2021,8760,8760,12,1.0
06225,2022,8760,8760,12,1.0
06225,2023,8760,8760,12,1.0
06225,2024,8784,8648,12,0.9845173041894353
06225,2025,8760,8640,12,0.9863013698630136
06225,2026,3024,3024,5,1.0
06229,1971,8760,8143,12,0.9295662100456621
06229,1972,8784,7983,12,0.9088114754098361
06229,1973,8736,8631,12,0.9879807692307693
06229,1974,8760,6634,12,0.7573059360730594
06229,1975,8760,0,12,0.0
06229,1976,8784,3987,12,0.45389344262295084
06229,1977,8760,7666,12,0.8751141552511416
06229,1978,8759,8252,12,0.9421166799862998
06229,1979,8760,8713,12,0.9946347031963471
06229,1980,8784,6916,12,0.7873406193078324
06229,1981,8760,7698,12,0.8787671232876713
06229,1982,8760,8434,12,0.9627853881278539
06229,1983,8760,8103,12,0.925
06229,1984,8784,8075,12,0.9192850637522769
06229,1985,8760,8554,12,0.9764840182648402
06229,1986,8760,8655,12,0.988013698630137
06229,1987,8760,8423,12,0.9615296803652968
06229,1988,8784,8767,12,0.9980646630236795
06229,1989,8760,8687,12,0.9916666666666667
06229,1990,8736,8362,12,0.9571886446886447
06229,1991,8760,8505,12,0.9708904109589042
06229,1992,8784,8448,12,0.9617486338797814
06229,1993,8760,8708,12,0.9940639269406393
06229,1994,8760,8671,12,0.9898401826484018
06229,1995,8760,8748,12,0.9986301369863013
06229,1996,8784,8784,12,1.0
06229,1997,8760,8760,12,1.0
06229,1998,8760,8760,12,1.0
06229,1999,8760,2198,12,0.2509132420091324
06229,2000,8784,0,12,0.0
06229,2001,8760,8218,12,0.9381278538812785
06229,2002,8760,8739,12,0.9976027397260274
06229,2003,8040,8040,11,1.0
06229,2004,8784,8784,12,1.0
06229,2005,8760,8760,12,1.0
06229,2006,8760,8760,12,1.0
06229,2007,8760,8411,12,0.9601598173515982
06229,2008,8784,8784,12,1.0
06229,2009,8760,8760,12,1.0
06229,2010,8760,8594,12,0.9810502283105023
06229,2011,8760,8760,12,1.0
06229,2012,8784,8784,12,1.0
06229,2013,8760,8760,12,1.0
06229,2014,744,133,1,0.17876344086021506
06229,2017,432,432,1,1.0
06229,2018,8760,8345,12,0.9526255707762558
06229,2019,8760,8760,12,1.0
06229,2020,8784,8784,12,1.0
06229,2021,8760,8626,12,0.984703196347032
06229,2022,8760,8639,12,0.9861872146118722
06229,2023,8760,8620,12,0.9840182648401826
06229,2024,8784,6010,12,0.6841985428051002
06229,2025,8760,8760,12,1.0
06229,2026,3024,3024,5,1.0
06235,1951,8760,0,12,0.0
06235,1952,8784,0,12,0.0
06235,1953,8760,0,12,0.0
06235,1954,8760,0,12,0.0
06235,1955,8760,0,12,0.0
06235,1956,8760,0,12,0.0
06235,1957,8760,0,12,0.0
06235,1958,8760,0,12,0.0
06235,1959,8760,0,12,0.0
06235,1960,8784,0,12,0.0
06235,1961,8760,0,12,0.0
06235,1962,8760,0,12,0.0
06235,1963,8760,0,12,0.0
06235,1964,8784,0,12,0.0
06235,1965,8760,0,12,0.0
06235,1966,8760,0,12,0.0
06235,1967,8760,0,12,0.0
06235,1968,8784,0,12,0.0
06235,1969,8760,0,12,0.0
06235,1970,8760,0,12,0.0
06235,1971,8760,8760,12,1.0
06235,1972,8784,8563,12,0.9748406193078324
06235,1973,8760,8760,12,1.0
06235,1974,8760,8695,12,0.992579908675799
06235,1975,8760,8676,12,0.9904109589041096
06235,1976,8784,8784,12,1.0
06235,1977,8760,8760,12,1.0
06235,1978,8760,8760,12,1.0
06235,1979,8760,8698,12,0.9929223744292237
06235,1980,8784,8773,12,0.998747723132969
06235,1981,8760,8754,12,0.9993150684931507
06235,1982,8760,8760,12,1.0
06235,1983,8760,8760,12,1.0
06235,1984,8784,8773,12,0.998747723132969
06235,1985,8760,8714,12,0.9947488584474886
06235,1986,8760,8726,12,0.9961187214611872
06235,1987,8760,8756,12,0.9995433789954338
06235,1988,8784,8777,12,0.9992030965391621
06235,1989,8760,8746,12,0.9984018264840183
06235,1990,8760,8760,12,1.0
06235,1991,8760,8760,12,1.0
06235,1992,8784,8773,12,0.998747723132969
06235,1993,8760,8755,12,0.9994292237442922
06235,1994,8760,8650,12,0.9874429223744292
06235,1995,8760,8729,12,0.9964611872146119
06235,1996,8784,8784,12,1.0
06235,1997,8760,8760,12,1.0
06235,1998,8760,8760,12,1.0
06235,1999,8760,8760,12,1.0
06235,2000,8784,8784,12,1.0
06235,2001,8760,8760,12,1.0
06235,2002,8760,8738,12,0.9974885844748859
06235,2003,8040,8040,11,1.0
06235,2004,8784,8784,12,1.0
06235,2005,8760,8760,12,1.0
06235,2006,8760,8760,12,1.0
06235,2007,8760,8760,12,1.0
06235,2008,8784,8784,12,1.0
06235,2009,8760,8760,12,1.0
06235,2010,8760,8760,12,1.0
06235,2011,8760,8760,12,1.0
06235,2012,8784,8784,12,1.0
06235,2013,8760,8760,12,1.0
06235,2014,8760,8760,12,1.0
06235,2015,8760,8760,12,1.0
06235,2016,8784,8784,12,1.0
06235,2017,8760,8760,12,1.0
06235,2018,8760,8760,12,1.0
06235,2019,8760,8760,12,1.0
06235,2020,8784,8784,12,1.0
06235,2021,8760,8760,12,1.0
06235,2022,8760,8760,12,1.0
06235,2023,8760,8760,12,1.0
06235,2024,8784,8784,12,1.0
06235,2025,8760,8760,12,1.0
06235,2026,3024,3024,5,1.0
06239,1994,8760,8354,12,0.9536529680365297
06239,1995,8760,8478,12,0.9678082191780822
06239,1996,8784,8784,12,1.0
06239,1997,8760,8157,12,0.9311643835616439
06239,1998,8760,8760,12,1.0
06239,1999,8760,8760,12,1.0
06239,2000,8784,8686,12,0.9888433515482696
06239,2001,8760,8760,12,1.0
06239,2002,8760,8760,12,1.0
06239,2003,8040,7725,11,0.960820895522388
06239,2004,8784,8784,12,1.0
06239,2005,8760,8701,12,0.9932648401826484
06239,2006,8760,8760,12,1.0
06239,2007,8760,5214,12,0.5952054794520548
06239,2008,8784,4277,12,0.486908014571949
06239,2009,8760,1393,12,0.15901826484018264
06239,2010,8760,8760,12,1.0
06239,2011,8760,8743,12,0.9980593607305936
06239,2012,8784,8764,12,0.9977231329690346
06239,2013,8760,8368,12,0.9552511415525115
06239,2014,8760,8353,12,0.9535388127853881
06239,2015,8760,8539,12,0.9747716894977169
06239,2016,8784,8713,12,0.9919171220400729
06239,2017,8760,8760,12,1.0
06239,2018,8760,8647,12,0.9871004566210045
06239,2019,8760,8755,12,0.9994292237442922
06239,2020,8784,2405,12,0.2737932604735883
06239,2021,8760,4025,12,0.4594748858447489
06239,2022,8760,8760,12,1.0
06239,2023,8760,8723,12,0.9957762557077625
06239,2024,8784,8267,12,0.9411429872495446
06239,2025,8760,7619,12,0.8697488584474886
06239,2026,3024,3024,5,1.0
06240,1951,8760,0,12,0.0
06240,1952,8784,0,12,0.0
06240,1953,8760,0,12,0.0
