i,j,station_i,station_j,name_i,name_j,dist_km
10,14,06278,06285,HEINO AWS,HUIBERTGAT WP,127.04958709775208
2,18,06240,06310,AMSTERDAM/SCHIPHOL AP,VLISSINGEN AWS,127.27575895428843
16,28,06290,06356,TWENTHE AWS,HERWIJNEN AWS,127.93996094855773
7,25,06273,06344,MARKNESSE AWS,ROTTERDAM THE HAGUE AP,127.96812301177461
8,31,06275,06380,DEELEN,MAASTRICHT AACHEN AP,128.03563041781644
8,12,06275,06280,DEELEN,GRONINGEN AP EELDE,128.2307477850071
22,29,06320,06370,LICHTEILAND GOEREE,EINDHOVEN AP,129.0218978755548
1,14,06235,06285,DE KOOY VK,HUIBERTGAT WP,129.42449496781157
13,15,06283,06286,HUPSEL AWS,NIEUW BEERTA AWS,129.60609703745277
2,11,06240,06279,AMSTERDAM/SCHIPHOL AP,HOOGEVEEN AWS,129.82557644977337
6,8,06270,06275,LEEUWARDEN,DEELEN,130.17446653304057
2,13,06240,06283,AMSTERDAM/SCHIPHOL AP,HUPSEL AWS,130.2442499723368
6,16,06270,06290,LEEUWARDEN,TWENTHE AWS,130.52337568321664
3,6,06260,06270,DE BILT AWS,LEEUWARDEN,130.82162080060164
13,27,06283,06350,HUPSEL AWS,GILZE RIJEN,130.866201645872
25,32,06344,06391,ROTTERDAM THE HAGUE AP,ARCEN AWS,131.02422221321177
0,18,06225,06310,IJMUIDEN WP,VLISSINGEN AWS,131.16611692455245
3,18,06260,06310,DE BILT AWS,VLISSINGEN AWS,131.2333736701994
26,31,06348,06380,CABAUW TOWER AWS,MAASTRICHT AACHEN AP,131.7314882143767
4,23,06267,06330,STAVOREN AWS,HOEK VAN HOLLAND AWS,132.10106010063666
10,27,06278,06350,HEINO AWS,GILZE RIJEN,132.495669150535
2,32,06240,06391,AMSTERDAM/SCHIPHOL AP,ARCEN AWS,132.74360323173045
17,28,06308,06356,CADZAND WP,HERWIJNEN AWS,132.99886247109808
3,21,06260,06319,DE BILT AWS,WESTDORPE AWS,133.11599251677958
4,24,06267,06343,STAVOREN AWS,ROTTERDAM GEULHAVEN,133.27262233063715
10,25,06278,06344,HEINO AWS,ROTTERDAM THE HAGUE AP,134.2619571437981
1,22,06235,06320,DE KOOY VK,LICHTEILAND GOEREE,134.4111044715369
11,30,06279,06375,HOOGEVEEN AWS,VOLKEL,134.84609025748634
9,16,06277,06290,LAUWERSOOG AWS,TWENTHE AWS,134.8569290015438
7,32,06273,06391,MARKNESSE AWS,ARCEN AWS,135.60471706008897
21,30,06319,06375,WESTDORPE AWS,VOLKEL,136.70868547040334
24,32,06343,06391,ROTTERDAM GEULHAVEN,ARCEN AWS,137.03949351670764
2,21,06240,06319,AMSTERDAM/SCHIPHOL AP,WESTDORPE AWS,137.25662851249
21,31,06319,06380,WESTDORPE AWS,MAASTRICHT AACHEN AP,137.48819982591993
5,15,06269,06286,LELYSTAD AP,NIEUW BEERTA AWS,137.991508187747
5,22,06269,06320,LELYSTAD AP,LICHTEILAND GOEREE,138.11565274564563
16,26,06290,06348,TWENTHE AWS,CABAUW TOWER AWS,138.3422024708094
16,29,06290,06370,TWENTHE AWS,EINDHOVEN AP,138.52459652314855
5,14,06269,06285,LELYSTAD AP,HUIBERTGAT WP,138.6054091035265
3,31,06260,06380,DE BILT AWS,MAASTRICHT AACHEN AP,138.70421703680609
11,28,06279,06356,HOOGEVEEN AWS,HERWIJNEN AWS,138.7132275667792
17,29,06308,06370,CADZAND WP,EINDHOVEN AP,138.75241457327175
20,30,06316,06375,OOSTERSCHELDE 4,VOLKEL,138.84201203304872
4,30,06267,06375,STAVOREN AWS,VOLKEL,139.41725837647377
7,24,06273,06343,MARKNESSE AWS,ROTTERDAM GEULHAVEN,139.93661161276725
0,11,06225,06279,IJMUIDEN WP,HOOGEVEEN AWS,139.9534957559015
11,26,06279,06348,HOOGEVEEN AWS,CABAUW TOWER AWS,141.52297300250902
11,32,06279,06391,HOOGEVEEN AWS,ARCEN AWS,141.54205603484547
7,27,06273,06350,MARKNESSE AWS,GILZE RIJEN,142.14241427396925
6,13,06270,06283,LEEUWARDEN,HUPSEL AWS,142.23268816751843
2,17,06240,06308,AMSTERDAM/SCHIPHOL AP,CADZAND WP,142.28744671144582
2,16,06240,06290,AMSTERDAM/SCHIPHOL AP,TWENTHE AWS,142.9670114231804
22,30,06320,06375,LICHTEILAND GOEREE,VOLKEL,143.18697981764174
13,31,06283,06380,HUPSEL AWS,MAASTRICHT AACHEN AP,143.3425998359784
7,29,06273,06370,MARKNESSE AWS,EINDHOVEN AP,143.5436215953086
7,23,06273,06330,MARKNESSE AWS,HOEK VAN HOLLAND AWS,143.63903604675033
19,30,06312,06375,OOSTERSCHELDE WP,VOLKEL,144.14751407021674
0,17,06225,06308,IJMUIDEN WP,CADZAND WP,144.84946002981337
0,21,06225,06319,IJMUIDEN WP,WESTDORPE AWS,145.62508748242365
10,24,06278,06343,HEINO AWS,ROTTERDAM GEULHAVEN,145.81726870570708
3,17,06260,06308,DE BILT AWS,CADZAND WP,147.50638782698056
18,30,06310,06375,VLISSINGEN AWS,VOLKEL,147.9365267123511
3,12,06260,06280,DE BILT AWS,GRONINGEN AP EELDE,148.25780198990253
14,16,06285,06290,HUIBERTGAT WP,TWENTHE AWS,148.36179916296442
25,31,06344,06380,ROTTERDAM THE HAGUE AP,MAASTRICHT AACHEN AP,148.58678178523115
24,31,06343,06380,ROTTERDAM GEULHAVEN,MAASTRICHT AACHEN AP,148.8086704922088
5,19,06269,06312,LELYSTAD AP,OOSTERSCHELDE WP,149.46314545490108
0,13,06225,06283,IJMUIDEN WP,HUPSEL AWS,149.59213845782517
6,26,06270,06348,LEEUWARDEN,CABAUW TOWER AWS,150.1701590301596
2,12,06240,06280,AMSTERDAM/SCHIPHOL AP,GRONINGEN AP EELDE,150.51196154370513
1,19,06235,06312,DE KOOY VK,OOSTERSCHELDE WP,151.14249596575516
4,27,06267,06350,STAVOREN AWS,GILZE RIJEN,151.18831336966915
8,22,06275,06320,DEELEN,LICHTEILAND GOEREE,151.46593712510554
13,25,06283,06344,HUPSEL AWS,ROTTERDAM THE HAGUE AP,151.69477066076476
1,27,06235,06350,DE KOOY VK,GILZE RIJEN,151.7999304126509
5,20,06269,06316,LELYSTAD AP,OOSTERSCHELDE 4,152.15911289929826
8,9,06275,06277,DEELEN,LAUWERSOOG AWS,152.48914614507294
9,13,06277,06283,LAUWERSOOG AWS,HUPSEL AWS,152.57517266541603
0,9,06225,06277,IJMUIDEN WP,LAUWERSOOG AWS,152.5986247777183
23,32,06330,06391,HOEK VAN HOLLAND AWS,ARCEN AWS,153.0089553437943
8,15,06275,06286,DEELEN,NIEUW BEERTA AWS,153.2593057650321
10,23,06278,06330,HEINO AWS,HOEK VAN HOLLAND AWS,153.7231670381489
2,9,06240,06277,AMSTERDAM/SCHIPHOL AP,LAUWERSOOG AWS,154.14995314231095
1,30,06235,06375,DE KOOY VK,VOLKEL,154.43695603272067
0,12,06225,06280,IJMUIDEN WP,GRONINGEN AP EELDE,155.02232988106238
0,32,06225,06391,IJMUIDEN WP,ARCEN AWS,155.38677471826318
16,27,06290,06350,TWENTHE AWS,GILZE RIJEN,155.50984906341637
8,20,06275,06316,DEELEN,OOSTERSCHELDE 4,156.0348343766241
6,28,06270,06356,LEEUWARDEN,HERWIJNEN AWS,157.25465730723388
8,19,06275,06312,DEELEN,OOSTERSCHELDE WP,157.65278525498414
4,22,06267,06320,STAVOREN AWS,LICHTEILAND GOEREE,158.6103846671988
1,13,06235,06283,DE KOOY VK,HUPSEL AWS,158.88368228769428
1,20,06235,06316,DE KOOY VK,OOSTERSCHELDE 4,159.50890181862155
1,16,06235,06290,DE KOOY VK,TWENTHE AWS,159.94958691237414
0,16,06225,06290,IJMUIDEN WP,TWENTHE AWS,159.9694718544652
4,29,06267,06370,STAVOREN AWS,EINDHOVEN AP,160.89987282435806
1,15,06235,06286,DE KOOY VK,NIEUW BEERTA AWS,161.01109524577817
3,9,06260,06277,DE BILT AWS,LAUWERSOOG AWS,161.29231410853268
13,24,06283,06343,HUPSEL AWS,ROTTERDAM GEULHAVEN,161.73244380878788
18,31,06310,06380,VLISSINGEN AWS,MAASTRICHT AACHEN AP,162.34300769025327
17,30,06308,06375,CADZAND WP,VOLKEL,163.98763489567153
21,32,06319,06391,WESTDORPE AWS,ARCEN AWS,164.92237791018735
4,32,06267,06391,STAVOREN AWS,ARCEN AWS,165.1811077052569
6,25,06270,06344,LEEUWARDEN,ROTTERDAM THE HAGUE AP,165.7526543492801
23,31,06330,06380,HOEK VAN HOLLAND AWS,MAASTRICHT AACHEN AP,165.81305885885268
11,29,06279,06370,HOOGEVEEN AWS,EINDHOVEN AP,165.96514614064765
20,31,06316,06380,OOSTERSCHELDE 4,MAASTRICHT AACHEN AP,166.28311286888982
8,21,06275,06319,DEELEN,WESTDORPE AWS,166.65885179701786
13,14,06283,06285,HUPSEL AWS,HUIBERTGAT WP,168.3683128136403
11,25,06279,06344,HOOGEVEEN AWS,ROTTERDAM THE HAGUE AP,168.91225947119577
1,29,06235,06370,DE KOOY VK,EINDHOVEN AP,169.20275299260436
16,25,06290,06344,TWENTHE AWS,ROTTERDAM THE HAGUE AP,170.4393885637619
12,26,06280,06348,GRONINGEN AP EELDE,CABAUW TOWER AWS,170.46166210644301
2,31,06240,06380,AMSTERDAM/SCHIPHOL AP,MAASTRICHT AACHEN AP,170.7429282765949
8,18,06275,06310,DEELEN,VLISSINGEN AWS,170.89995235007578
16,31,06290,06380,TWENTHE AWS,MAASTRICHT AACHEN AP,170.91761009002366
12,28,06280,06356,GRONINGEN AP EELDE,HERWIJNEN AWS,171.18896689204234
5,18,06269,06310,LELYSTAD AP,VLISSINGEN AWS,172.37309188713542
5,31,06269,06380,LELYSTAD AP,MAASTRICHT AACHEN AP,172.46385365029
8,14,06275,06285,DEELEN,HUIBERTGAT WP,172.58678223912418
11,27,06279,06350,HOOGEVEEN AWS,GILZE RIJEN,172.6558240874905
10,31,06278,06380,HEINO AWS,MAASTRICHT AACHEN AP,173.44731669104425
12,30,06280,06375,GRONINGEN AP EELDE,VOLKEL,173.45096019853605
4,19,06267,06312,STAVOREN AWS,OOSTERSCHELDE WP,173.53049592251563
13,23,06283,06330,HUPSEL AWS,HOEK VAN HOLLAND AWS,173.6288943418051
7,22,06273,06320,MARKNESSE AWS,LICHTEILAND GOEREE,173.6840814021683
20,32,06316,06391,OOSTERSCHELDE 4,ARCEN AWS,173.80111114642372
6,30,06270,06375,LEEUWARDEN,VOLKEL,173.99143120259424
17,31,06308,06380,CADZAND WP,MAASTRICHT AACHEN AP,174.39202717494723
0,14,06225,06285,IJMUIDEN WP,HUIBERTGAT WP,174.58481341265545
6,23,06270,06330,LEEUWARDEN,HOEK VAN HOLLAND AWS,175.72262896524833
2,14,06240,06285,AMSTERDAM/SCHIPHOL AP,HUIBERTGAT WP,176.46635967467466
19,31,06312,06380,OOSTERSCHELDE WP,MAASTRICHT AACHEN AP,176.84960415813237
5,21,06269,06319,LELYSTAD AP,WESTDORPE AWS,176.95826824200012
6,24,06270,06343,LEEUWARDEN,ROTTERDAM GEULHAVEN,177.12691904143222
4,20,06267,06316,STAVOREN AWS,OOSTERSCHELDE 4,179.57238737477851
19,32,06312,06391,OOSTERSCHELDE WP,ARCEN AWS,180.18431974533007
18,32,06310,06391,VLISSINGEN AWS,ARCEN AWS,180.2127996288524
3,15,06260,06286,DE BILT AWS,NIEUW BEERTA AWS,180.24839820236826
22,32,06320,06391,LICHTEILAND GOEREE,ARCEN AWS,180.44186946543147
11,24,06279,06343,HOOGEVEEN AWS,ROTTERDAM GEULHAVEN,180.78686338812028
16,24,06290,06343,TWENTHE AWS,ROTTERDAM GEULHAVEN,181.19756841740067
9,26,06277,06348,LAUWERSOOG AWS,CABAUW TOWER AWS,181.90934463466363
12,32,06280,06391,GRONINGEN AP EELDE,ARCEN AWS,182.76628833963827
3,14,06260,06285,DE BILT AWS,HUIBERTGAT WP,183.2979057476205
1,18,06235,06310,DE KOOY VK,VLISSINGEN AWS,183.88147809303632
22,31,06320,06380,LICHTEILAND GOEREE,MAASTRICHT AACHEN AP,184.16668918549954
10,22,06278,06320,HEINO AWS,LICHTEILAND GOEREE,185.34435712735828
1,32,06235,06391,DE KOOY VK,ARCEN AWS,185.9161346058948
7,19,06273,06312,MARKNESSE AWS,OOSTERSCHELDE WP,186.0571826970849
2,15,06240,06286,AMSTERDAM/SCHIPHOL AP,NIEUW BEERTA AWS,186.33845777383937
11,23,06279,06330,HOOGEVEEN AWS,HOEK VAN HOLLAND AWS,186.53084918644743
9,28,06277,06356,LAUWERSOOG AWS,HERWIJNEN AWS,186.8454254088327
8,17,06275,06308,DEELEN,CADZAND WP,187.40113778821015
5,17,06269,06308,LELYSTAD AP,CADZAND WP,188.22296385004384
7,20,06273,06316,MARKNESSE AWS,OOSTERSCHELDE 4,189.4633271532271
16,23,06290,06330,TWENTHE AWS,HOEK VAN HOLLAND AWS,191.57960290249338
0,31,06225,06380,IJMUIDEN WP,MAASTRICHT AACHEN AP,192.06991478113983
0,15,06225,06286,IJMUIDEN WP,NIEUW BEERTA AWS,192.35398698475612
6,27,06270,06350,LEEUWARDEN,GILZE RIJEN,192.5114428970421
12,25,06280,06344,GRONINGEN AP EELDE,ROTTERDAM THE HAGUE AP,193.95546510314216
6,32,06270,06391,LEEUWARDEN,ARCEN AWS,194.26869700118235
10,19,06278,06312,HEINO AWS,OOSTERSCHELDE WP,194.81906236172298
10,20,06278,06316,HEINO AWS,OOSTERSCHELDE 4,195.60512474957002
17,32,06308,06391,CADZAND WP,ARCEN AWS,195.6722304212698
15,30,06286,06375,NIEUW BEERTA AWS,VOLKEL,196.78956628412178
1,17,06235,06308,DE KOOY VK,CADZAND WP,196.80080977929305
9,30,06277,06375,LAUWERSOOG AWS,VOLKEL,197.76043670383498
6,29,06270,06370,LEEUWARDEN,EINDHOVEN AP,198.83000640298198
1,21,06235,06319,DE KOOY VK,WESTDORPE AWS,199.44173981714772
15,32,06286,06391,NIEUW BEERTA AWS,ARCEN AWS,199.5120077305484
9,25,06277,06344,LAUWERSOOG AWS,ROTTERDAM THE HAGUE AP,199.9519664817108
7,31,06273,06380,MARKNESSE AWS,MAASTRICHT AACHEN AP,199.9595704835629
15,28,06286,06356,NIEUW BEERTA AWS,HERWIJNEN AWS,201.1486325228811
6,22,06270,06320,LEEUWARDEN,LICHTEILAND GOEREE,201.47385579491882
4,18,06267,06310,STAVOREN AWS,VLISSINGEN AWS,202.58876171892769
15,26,06286,06348,NIEUW BEERTA AWS,CABAUW TOWER AWS,202.7823531921907
12,29,06280,06370,GRONINGEN AP EELDE,EINDHOVEN AP,203.44620029284235
14,26,06285,06348,HUIBERTGAT WP,CABAUW TOWER AWS,204.0765898914784
13,22,06283,06320,HUPSEL AWS,LICHTEILAND GOEREE,205.07378283668325
12,24,06280,06343,GRONINGEN AP EELDE,ROTTERDAM GEULHAVEN,205.90982070231237
12,27,06280,06350,GRONINGEN AP EELDE,GILZE RIJEN,206.3607263597711
13,20,06283,06316,HUPSEL AWS,OOSTERSCHELDE 4,208.53240454331313
14,28,06285,06356,HUIBERTGAT WP,HERWIJNEN AWS,208.64540519497103
12,23,06280,06330,GRONINGEN AP EELDE,HOEK VAN HOLLAND AWS,208.7439101941765
7,18,06273,06310,MARKNESSE AWS,VLISSINGEN AWS,210.17107631385176
13,19,06283,06312,HUPSEL AWS,OOSTERSCHELDE WP,210.8146383865665
9,23,06277,06330,LAUWERSOOG AWS,HOEK VAN HOLLAND AWS,211.0459206050161
9,24,06277,06343,LAUWERSOOG AWS,ROTTERDAM GEULHAVEN,211.5428804334452
11,31,06279,06380,HOOGEVEEN AWS,MAASTRICHT AACHEN AP,212.44036272359565
10,21,06278,06319,HEINO AWS,WESTDORPE AWS,212.68717549025033
9,32,06277,06391,LAUWERSOOG AWS,ARCEN AWS,212.88308468597816
4,21,06267,06319,STAVOREN AWS,WESTDORPE AWS,213.05019199075994
10,18,06278,06310,HEINO AWS,VLISSINGEN AWS,213.3379683869264
13,21,06283,06319,HUPSEL AWS,WESTDORPE AWS,214.44686922769571
7,21,06273,06319,MARKNESSE AWS,WESTDORPE AWS,215.0556769927272
6,19,06270,06312,LEEUWARDEN,OOSTERSCHELDE WP,216.82040826320804
4,17,06267,06308,STAVOREN AWS,CADZAND WP,217.12188740711784
11,22,06279,06320,HOOGEVEEN AWS,LICHTEILAND GOEREE,217.41994427874488
14,30,06285,06375,HUIBERTGAT WP,VOLKEL,218.027223414968
13,18,06283,06310,HUPSEL AWS,VLISSINGEN AWS,221.88580058659196
14,25,06285,06344,HUIBERTGAT WP,ROTTERDAM THE HAGUE AP,222.28284268035648
9,27,06277,06350,LAUWERSOOG AWS,GILZE RIJEN,222.45365602282305
4,31,06267,06380,STAVOREN AWS,MAASTRICHT AACHEN AP,222.95133878678428
6,20,06270,06316,LEEUWARDEN,OOSTERSCHELDE 4,223.2040474988525
16,22,06290,06320,TWENTHE AWS,LICHTEILAND GOEREE,223.34501189572063
9,29,06277,06370,LAUWERSOOG AWS,EINDHOVEN AP,225.17119829344017
7,17,06273,06308,MARKNESSE AWS,CADZAND WP,225.8915179561088
15,29,06286,06370,NIEUW BEERTA AWS,EINDHOVEN AP,228.33865091166055
15,25,06286,06344,NIEUW BEERTA AWS,ROTTERDAM THE HAGUE AP,228.36938092503215
11,19,06279,06312,HOOGEVEEN AWS,OOSTERSCHELDE WP,228.62741717636723
16,20,06290,06316,TWENTHE AWS,OOSTERSCHELDE 4,229.50973074484955
10,17,06278,06308,HEINO AWS,CADZAND WP,229.69545066037566
16,19,06290,06312,TWENTHE AWS,OOSTERSCHELDE WP,230.65401836177872
11,20,06279,06316,HOOGEVEEN AWS,OOSTERSCHELDE 4,230.78447834509782
14,32,06285,06391,HUIBERTGAT WP,ARCEN AWS,231.32317984717605
14,23,06285,06330,HUIBERTGAT WP,HOEK VAN HOLLAND AWS,233.2563054643921
14,24,06285,06343,HUIBERTGAT WP,ROTTERDAM GEULHAVEN,233.8672791090717
1,31,06235,06380,DE KOOY VK,MAASTRICHT AACHEN AP,234.63554524779116
15,27,06286,06350,NIEUW BEERTA AWS,GILZE RIJEN,235.36607065526496
9,22,06277,06320,LAUWERSOOG AWS,LICHTEILAND GOEREE,237.42881770463188
12,22,06280,06320,GRONINGEN AP EELDE,LICHTEILAND GOEREE,237.92639539969932
13,17,06283,06308,HUPSEL AWS,CADZAND WP,238.33165851267802
16,21,06290,06319,TWENTHE AWS,WESTDORPE AWS,238.91086034922458
15,24,06286,06343,NIEUW BEERTA AWS,ROTTERDAM GEULHAVEN,240.3352373836136
14,27,06285,06350,HUIBERTGAT WP,GILZE RIJEN,244.2713584528167
15,23,06286,06330,NIEUW BEERTA AWS,HOEK VAN HOLLAND AWS,244.35327331179428
16,18,06290,06310,TWENTHE AWS,VLISSINGEN AWS,244.42923092533536
14,29,06285,06370,HUIBERTGAT WP,EINDHOVEN AP,246.0996873111323
6,18,06270,06310,LEEUWARDEN,VLISSINGEN AWS,246.36942035053906
11,18,06279,06310,HOOGEVEEN AWS,VLISSINGEN AWS,249.97554199971208
12,19,06280,06312,GRONINGEN AP EELDE,OOSTERSCHELDE WP,251.14992358152745
11,21,06279,06319,HOOGEVEEN AWS,WESTDORPE AWS,251.39300232198104
9,19,06277,06312,LAUWERSOOG AWS,OOSTERSCHELDE WP,252.50749722257834
12,31,06280,06380,GRONINGEN AP EELDE,MAASTRICHT AACHEN AP,253.0050036666989
12,20,06280,06316,GRONINGEN AP EELDE,OOSTERSCHELDE 4,255.15483577190676
6,21,06270,06319,LEEUWARDEN,WESTDORPE AWS,256.81001273709626
6,31,06270,06380,LEEUWARDEN,MAASTRICHT AACHEN AP,257.7288994279111
9,20,06277,06316,LAUWERSOOG AWS,OOSTERSCHELDE 4,258.49669311925516
14,22,06285,06320,HUIBERTGAT WP,LICHTEILAND GOEREE,259.396031879776
6,17,06270,06308,LEEUWARDEN,CADZAND WP,260.7885795644382
16,17,06290,06308,TWENTHE AWS,CADZAND WP,260.92877419014985
11,17,06279,06308,HOOGEVEEN AWS,CADZAND WP,266.11709686021396
15,31,06286,06380,NIEUW BEERTA AWS,MAASTRICHT AACHEN AP,271.62700241215646
15,22,06286,06320,NIEUW BEERTA AWS,LICHTEILAND GOEREE,274.20435929641604
14,19,06285,06312,HUIBERTGAT WP,OOSTERSCHELDE WP,274.6119435501652
12,18,06280,06310,GRONINGEN AP EELDE,VLISSINGEN AWS,276.23297730041435
9,31,06277,06380,LAUWERSOOG AWS,MAASTRICHT AACHEN AP,280.28976730595133
14,20,06285,06316,HUIBERTGAT WP,OOSTERSCHELDE 4,280.72099506112704
12,21,06280,06319,GRONINGEN AP EELDE,WESTDORPE AWS,281.1678633277012
9,18,06277,06310,LAUWERSOOG AWS,VLISSINGEN AWS,281.31357628438786
15,19,06286,06312,NIEUW BEERTA AWS,OOSTERSCHELDE WP,286.77530382670847
15,20,06286,06316,NIEUW BEERTA AWS,OOSTERSCHELDE 4,290.05557816323466
9,21,06277,06319,LAUWERSOOG AWS,WESTDORPE AWS,290.4720379270191
12,17,06280,06308,GRONINGEN AP EELDE,CADZAND WP,291.84577968493176
9,17,06277,06308,LAUWERSOOG AWS,CADZAND WP,296.0088185694399
14,31,06285,06380,HUIBERTGAT WP,MAASTRICHT AACHEN AP,299.8791606999993
14,18,06285,06310,HUIBERTGAT WP,VLISSINGEN AWS,303.60023866960165
15,18,06286,06310,NIEUW BEERTA AWS,VLISSINGEN AWS,310.31109922312487
14,21,06285,06319,HUIBERTGAT WP,WESTDORPE AWS,312.79291533943734
15,21,06286,06319,NIEUW BEERTA AWS,WESTDORPE AWS,313.2528417443414
14,17,06285,06308,HUIBERTGAT WP,CADZAND WP,318.2521253084543
15,17,06286,06308,NIEUW BEERTA AWS,CADZAND WP,326.20885783912394
